date,temperature_mean_c,temperature_min_c,temperature_max_c,relative_humidity_mean_pct,total_precipitation_mm,wind_speed_mean_ms,surface_pressure_mean_hpa,sin_day,cos_day
2004-01-01,22.7924,19.0832,28.7746,83.9309,6.176,2.0095,913.4012,0.017202,0.999852
2004-01-02,20.7591,18.7209,23.9574,87.4774,7.627,2.4609,913.8526,0.034398,0.999408
2004-01-03,19.3444,16.9599,21.9607,82.641,8.6231,3.4556,914.7591,0.051584,0.998669
2004-01-04,19.6442,17.6534,21.879,80.5267,0.1888,3.4866,915.3693,0.068755,0.997634
2004-01-05,21.8597,18.4318,27.259,76.2502,1.8296,2.4252,915.2435,0.085906,0.996303
2004-01-06,22.9878,19.3123,27.8016,76.5829,0.7806,2.4081,915.4584,0.103031,0.994678
2004-01-07,21.556,18.6171,25.1695,80.9646,3.6154,1.9532,915.6316,0.120126,0.992759
2004-01-08,20.6694,19.3738,23.1016,86.7205,16.5939,2.7236,913.8585,0.137185,0.990545
2004-01-09,19.7481,18.45,23.2465,93.9116,28.1024,2.2389,912.1249,0.154204,0.988039
2004-01-10,21.7698,18.571,27.7682,84.9715,3.2172,2.1763,910.6572,0.171177,0.98524
2004-01-11,23.2239,18.4118,29.6891,76.5266,0.6943,1.6958,910.865,0.188099,0.98215
2004-01-12,23.9965,20.9293,29.3237,78.6649,14.1172,2.1034,910.8526,0.204966,0.978769
2004-01-13,23.1809,19.7067,29.5391,82.5236,9.3975,1.4749,910.5803,0.221772,0.975099
2004-01-14,23.2571,20.1652,28.2408,84.5361,37.6873,2.1221,909.7642,0.238513,0.971139
2004-01-15,23.8315,20.576,28.8021,81.1661,1.5249,1.7799,908.3352,0.255182,0.966893
2004-01-16,23.6431,19.8018,29.4394,78.8866,4.2887,1.7095,909.8326,0.271777,0.96236
2004-01-17,22.9821,17.4015,28.6587,69.8701,0.1001,2.5288,912.6387,0.288291,0.957543
2004-01-18,21.4809,15.0461,26.4842,65.9679,0.0,2.1883,913.6363,0.304719,0.952442
2004-01-19,22.2899,16.3151,28.3512,62.3568,0.0,2.6381,913.6038,0.321058,0.94706
2004-01-20,22.4849,16.4684,28.5681,61.8692,0.0,3.1736,913.6462,0.337301,0.941397
2004-01-21,22.5798,16.272,28.4337,62.8415,0.0,2.4897,913.1911,0.353445,0.935455
2004-01-22,22.8963,19.5612,26.0074,76.4334,10.8156,2.4569,911.9224,0.369484,0.929237
2004-01-23,21.6437,20.4179,24.6176,86.7069,22.4948,2.9313,912.6461,0.385413,0.922744
2004-01-24,21.6791,19.069,25.3142,79.9054,2.4376,3.2361,914.2256,0.401229,0.915978
2004-01-25,22.4523,19.4022,27.2092,78.9717,2.3789,3.6853,913.3184,0.416926,0.90894
2004-01-26,21.8829,19.5579,25.0863,79.9142,7.4563,3.2225,913.2149,0.432499,0.901634
2004-01-27,21.9795,19.5029,25.379,76.5042,7.0543,3.055,913.912,0.447945,0.894061
2004-01-28,23.8258,18.4632,29.5463,65.9902,0.0172,3.0163,915.6686,0.463258,0.886224
2004-01-29,23.8667,18.8304,29.6558,68.7061,0.3386,2.5895,916.3532,0.478434,0.878124
2004-01-30,23.5538,18.76,29.4182,71.4196,0.4487,2.1491,916.117,0.493468,0.869764
2004-01-31,23.5486,18.723,29.2036,71.4039,0.7205,1.8229,916.2884,0.508356,0.861147
2004-02-01,22.8779,19.1163,28.267,78.7404,10.4885,1.2115,917.0724,0.523094,0.852275
2004-02-02,22.7174,18.9541,28.7824,79.3051,4.6706,1.4654,915.2808,0.537677,0.843151
2004-02-03,23.039,18.8625,28.8351,76.906,2.3904,1.6021,914.5926,0.552101,0.833777
2004-02-04,23.6763,19.6315,29.7202,75.5822,4.127,1.735,915.2363,0.566362,0.824157
