Variable,Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Humidity (%),Humidity (%),Humidity (%),Humidity (%),Humidity (%),Humidity (%),Wind Speed (m/s),Wind Speed (m/s),Wind Speed (m/s),Wind Speed (m/s),Wind Speed (m/s),Wind Speed (m/s)
Model,Model,Model,Persistence,Persistence,Climatology,Climatology,Model,Model,Persistence,Persistence,Climatology,Climatology,Model,Model,Persistence,Persistence,Climatology,Climatology,Model,Model,Persistence,Persistence,Climatology,Climatology
Metric,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE
d1,1.0975,1.3687,1.587,1.9772,3.1031,3.6367,2.0674,2.9541,3.861,6.2151,3.1382,4.2509,4.0257,4.9988,4.2231,5.3433,5.6397,6.8019,0.598,0.7514,0.7216,0.8983,0.5748,0.7117
d2,1.2731,1.6107,1.6567,2.092,3.1088,3.6427,2.1341,3.1728,3.6425,6.1042,3.1412,4.2519,4.7355,5.8166,4.4556,5.6681,5.6295,6.7949,0.7161,0.9023,0.696,0.8706,0.5745,0.7115
d3,1.4421,1.8039,1.6771,2.1124,3.1125,3.6445,2.5381,3.7411,3.515,5.7765,3.1412,4.2519,5.5731,7.0985,4.3743,5.5901,5.638,6.7997,0.8053,1.0176,0.7203,0.8877,0.5728,0.7101
d4,1.7044,2.1426,1.7013,2.1387,3.1205,3.6518,2.8475,4.2313,3.6171,5.9643,3.1412,4.2519,6.5269,8.2336,4.4874,5.6074,5.6367,6.7989,0.9993,1.2294,0.6931,0.8618,0.5707,0.7079
d5,1.9063,2.3889,1.654,2.0915,3.1247,3.657,3.2148,4.9207,3.5487,5.8625,3.1196,4.2065,7.0138,8.9153,4.6046,5.715,5.6523,6.8104,1.034,1.2966,0.6958,0.8743,0.5698,0.7073
d6,2.0948,2.5692,1.74,2.1419,3.1278,3.6597,3.3898,5.1453,3.7463,5.9676,3.1196,4.2065,8.0517,10.0963,4.5893,5.7407,5.6563,6.8148,1.0881,1.362,0.7212,0.8993,0.5694,0.707
d7,2.1515,2.7319,1.64,2.0631,3.1341,3.663,4.01,5.9022,3.4719,5.7424,3.1196,4.2065,8.5643,10.6989,4.5544,5.7159,5.6718,6.8286,1.2138,1.525,0.7088,0.8769,0.5723,0.7105
Mean,1.6671,2.088,1.6652,2.0881,3.1188,3.6508,2.886,4.2953,3.6289,5.9475,3.1315,4.2323,6.3559,7.9797,4.4698,5.6258,5.6463,6.807,0.9221,1.1549,0.7081,0.8813,0.572,0.7094
