Variable,Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Rainfall (mm),Humidity (%),Humidity (%),Humidity (%),Humidity (%),Humidity (%),Humidity (%),Wind Speed (m/s),Wind Speed (m/s),Wind Speed (m/s),Wind Speed (m/s),Wind Speed (m/s),Wind Speed (m/s)
Model,Model,Model,Persistence,Persistence,Climatology,Climatology,Model,Model,Persistence,Persistence,Climatology,Climatology,Model,Model,Persistence,Persistence,Climatology,Climatology,Model,Model,Persistence,Persistence,Climatology,Climatology
Metric,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE
d1,0.9096,1.1959,0.8774,1.1941,2.3206,2.8708,2.5315,5.4898,2.9903,6.7605,4.0093,6.3986,4.4387,5.8412,4.7981,6.4177,8.6884,11.2129,0.44,0.5564,0.5094,0.655,0.4996,0.6259
d2,1.1314,1.5075,1.3146,1.7781,2.3204,2.8707,2.7891,5.8682,3.8019,8.0227,4.0099,6.4002,5.75,7.5424,6.9019,9.2556,8.6894,11.2148,0.4586,0.5794,0.6282,0.7902,0.5007,0.627
d3,1.2728,1.676,1.5777,2.1007,2.3203,2.8707,2.8509,5.9683,4.0483,8.3802,4.0166,6.4281,6.2454,8.1228,7.9759,10.5296,8.6942,11.2239,0.4585,0.5809,0.6414,0.8174,0.5013,0.628
d4,1.3315,1.7571,1.7205,2.2743,2.3211,2.871,2.867,5.9717,4.0376,8.2648,4.0126,6.4264,6.4272,8.2985,8.2768,10.8376,8.6903,11.218,0.459,0.5818,0.6398,0.8106,0.5007,0.6273
d5,1.3719,1.7999,1.8164,2.3745,2.321,2.8709,2.8724,5.9592,3.8959,7.8789,4.0182,6.4304,6.4544,8.3679,8.2781,10.8268,8.6872,11.2142,0.4601,0.5821,0.6315,0.8089,0.5,0.6266
d6,1.3925,1.8256,1.872,2.4449,2.3195,2.8703,2.8675,5.9586,3.7316,7.7493,4.0199,6.4307,6.4555,8.3915,8.2265,10.8555,8.685,11.2127,0.4622,0.5836,0.6441,0.8225,0.5001,0.6267
d7,1.4091,1.8449,1.8928,2.4843,2.3183,2.8695,2.8691,5.9747,3.9501,7.9862,4.0177,6.4289,6.4619,8.4453,8.5418,11.1853,8.6813,11.2102,0.4641,0.5844,0.6369,0.7999,0.5,0.6267
Mean,1.2598,1.6582,1.5816,2.093,2.3202,2.8706,2.8068,5.8844,3.7794,7.8632,4.0149,6.4205,6.0333,7.8585,7.5713,9.9869,8.688,11.2152,0.4575,0.5784,0.6188,0.7863,0.5003,0.6269
