date,temp_mean_c,temp_max_c,temp_min_c
2010-01-01,20.8,25.3,17.1
2010-01-02,23.3,28.0,18.7
2010-01-03,23.1,29.1,15.8
2010-01-04,23.6,28.7,17.6
2010-01-05,23.4,28.2,18.5
2010-01-06,22.4,26.6,19.3
2010-01-07,22.1,26.7,19.1
2010-01-08,23.1,28.1,18.7
2010-01-09,23.9,28.5,19.0
2010-01-10,23.7,28.8,18.5
2010-01-11,23.2,28.2,18.0
2010-01-12,23.9,28.3,19.3
2010-01-13,23.6,28.8,18.5
2010-01-14,23.5,28.0,20.0
2010-01-15,22.1,27.3,18.9
2010-01-16,23.1,27.4,20.2
2010-01-17,23.0,26.9,19.4
2010-01-18,23.5,28.1,18.0
2010-01-19,24.0,28.9,18.3
2010-01-20,23.9,28.3,19.7
2010-01-21,23.1,27.3,18.9
2010-01-22,22.4,27.2,19.0
2010-01-23,22.0,26.2,19.1
2010-01-24,21.9,27.0,18.2
2010-01-25,21.6,26.4,18.4
2010-01-26,21.2,24.7,18.9
2010-01-27,22.1,27.1,17.6
2010-01-28,22.8,26.5,19.5
2010-01-29,23.2,27.0,19.4
2010-01-30,23.6,28.0,19.6
2010-01-31,23.5,28.4,19.0
2010-02-01,23.8,28.6,19.5
2010-02-02,24.2,29.2,18.9
2010-02-03,24.2,29.0,18.7
2010-02-04,23.9,28.8,19.4
2010-02-05,23.7,29.1,18.3
2010-02-06,22.9,28.3,17.9
2010-02-07,22.6,27.6,18.3
2010-02-08,22.9,28.3,16.9
2010-02-09,22.9,27.8,18.3
2010-02-10,22.7,27.4,18.0
2010-02-11,23.8,29.1,18.9
2010-02-12,24.1,28.7,19.9
2010-02-13,24.1,29.4,19.2
2010-02-14,24.1,28.9,18.9
2010-02-15,24.7,29.9,19.3
2010-02-16,25.0,30.0,19.3
2010-02-17,24.8,30.2,19.2
2010-02-18,21.8,26.0,19.8
2010-02-19,22.4,27.8,19.6
2010-02-20,22.7,27.2,19.4
2010-02-21,23.4,27.8,18.7
2010-02-22,24.5,29.7,19.2
2010-02-23,24.6,29.6,19.7
2010-02-24,24.4,30.1,19.8
2010-02-25,23.1,28.4,19.9
2010-02-26,20.2,24.0,17.8
2010-02-27,20.4,24.2,17.9
2010-02-28,20.3,23.0,17.3
2010-03-01,18.8,20.1,17.2
2010-03-02,17.5,18.7,16.2
2010-03-03,18.6,20.2,17.3
2010-03-04,20.2,23.6,18.6
2010-03-05,21.4,24.9,19.4
2010-03-06,20.8,24.3,18.7
2010-03-07,21.4,25.3,18.4
2010-03-08,22.2,27.5,16.7
2010-03-09,22.8,27.4,18.8
2010-03-10,22.6,27.1,18.3
2010-03-11,22.6,27.4,18.0
2010-03-12,23.0,28.5,17.2
2010-03-13,23.5,29.0,18.7
2010-03-14,23.0,27.6,19.9
2010-03-15,22.3,27.1,19.4
2010-03-16,21.0,25.9,18.4
2010-03-17,20.5,24.6,18.1
2010-03-18,21.4,25.6,18.6
2010-03-19,21.5,25.6,18.5
2010-03-20,22.0,27.2,16.9
2010-03-21,21.9,26.3,18.0
2010-03-22,22.0,27.1,18.2
2010-03-23,22.3,27.2,18.2
2010-03-24,22.8,27.6,18.6
2010-03-25,22.7,26.9,18.1
2010-03-26,22.4,26.4,18.4
2010-03-27,22.6,27.2,19.2
2010-03-28,22.5,27.2,19.3
2010-03-29,22.7,27.6,17.9
2010-03-30,22.8,27.5,19.0
2010-03-31,21.8,25.7,19.3
2010-04-01,20.8,23.6,19.1
2010-04-02,21.4,24.6,18.6
2010-04-03,20.4,22.6,18.8
2010-04-04,20.2,22.7,18.3
2010-04-05,20.8,25.2,18.0
